keys,en,es,dk
m0.boot_label,"TankGame M0","TankGame M0","TankGame M0"
m1.instructions,"WASD to move, mouse to aim, click to fire","WASD para mover, ratón para apuntar, clic para disparar","WASD for at bevæge dig, mus for at sigte, klik for at skyde"
m2.bricks_destroyed,"Bricks destroyed: {0}","Ladrillos destruidos: {0}","Mursten ødelagt: {0}"
hud.you_win,"You win!","¡Ganaste!","Du vandt!"
hud.you_lose,"You lose!","¡Perdiste!","Du tabte!"
hud.draw,"Draw!","¡Empate!","Uafgjort!"
hud.restart,"Play again","Jugar de nuevo","Spil igen"
hud.p1_wins,"Player 1 wins!","¡Jugador 1 gana!","Spiller 1 vinder!"
hud.p2_wins,"Player 2 wins!","¡Jugador 2 gana!","Spiller 2 vinder!"
hud.score,"Score {0} - {1}","Puntuación {0} - {1}","Score {0} - {1}"
hud.rounds,"Rounds {0} - {1}","Rondas {0} - {1}","Runder {0} - {1}"
hud.meters,"Damage {0} - {1}   K/D {2}/{3} - {4}/{5}","Daño {0} - {1}   K/D {2}/{3} - {4}/{5}","Skade {0} - {1}   K/D {2}/{3} - {4}/{5}"
hud.next_round,"Next round","Siguiente ronda","Næste runde"
title.heading,"Tank Maze","Laberinto de tanques","Tanklabyrint"
title.one_player,"1 Player","1 jugador","1 spiller"
title.two_player_coop,"2 Players — Co-op","2 jugadores — Cooperativo","2 spillere — Sammen"
title.two_player_versus,"2 Players — Versus","2 jugadores — Versus","2 spillere — Mod hinanden"
title.join_test,"Join TEST01","Unirse a TEST01","Deltag i TEST01"
net.connecting,"Connecting…","Conectando…","Forbinder…"
net.connected,"Connected","Conectado","Forbundet"
net.player2_joined,"Player 2 joined","Jugador 2 se unió","Spiller 2 deltog"
pickup.speed_boost,"Speed Boost!","¡Velocidad!","Fart!"
pickup.rapid_fire,"Rapid Fire!","¡Fuego rápido!","Hurtig ild!"
pickup.bouncing_ammo,"Bouncing Ammo!","¡Munición rebote!","Hoppende ammo!"
pickup.spread_ammo,"Spread Shot!","¡Disparo múltiple!","Spredeskud!"
pickup.piercing_ammo,"Piercing Ammo!","¡Munición perforante!","Gennemtrængende!"
pickup.repair,"Repair!","¡Reparación!","Reparation!"
pickup.shield,"Shield!","¡Escudo!","Skjold!"
pickup.missile,"Missile!","¡Misil!","Missil!"
pickup.telephone,"Airstrike!","¡Ataque aéreo!","Luftangreb!"
title.three_d,"3D Arena (preview)","Arena 3D (vista previa)","3D-arena (forhåndsvisning)"
hud.replay,"Replay","Repetir","Spil igen"
title.solo,"Solo","Solo","Solo"
title.team_vs_team,"Team vs Team","Equipo vs equipo","Hold mod hold"
title.select_map,"Select Map","Elegir mapa","Vælg bane"
title.exit,"Exit","Salir","Afslut"
map.heading,"Select Arena","Elegir arena","Vælg arena"
map.desert_war,"Desert War","Guerra del desierto","Ørkenkrig"
map.cliffs_and_valleys,"Cliffs & Valleys","Acantilados y valles","Klipper og dale"
map.coming_soon,"Coming soon","Próximamente","Kommer snart"
map.play,"Play","Jugar","Spil"
map.back,"Back","Atrás","Tilbage"
pause.heading,"Paused","En pausa","På pause"
pause.resume,"Resume","Reanudar","Fortsæt"
pause.main_menu,"Main Menu","Menú principal","Hovedmenu"
pause.exit,"Exit Game","Salir del juego","Afslut spil"
